id,address,clear_address,lat,lon
93470,"РОСТОВСКАЯ ОБЛ., Аксайский р-н, Янтарный П., ЛАНДЫШЕВАЯ УЛ., ЗД. 105",ростовская обл. аксайский р-н янтарный п. ландышеваязд. 105,,
93471,"РОСТОВСКАЯ ОБЛАСТЬ, БОКОВСКИЙ РАЙОН, БОКОВСКАЯ СТАНИЦА, КОНЬКОВСКИЙ ПЕРЕУЛОК, ДОМ 8",ростовская боковский боковская станица коньковский 8,,
93472,Ростовская область,ростовская ,61.0771764,41.9943256
93473,"РОСТОВСКАЯ ОБЛАСТЬ, АКСАЙСКИЙ РАЙОН, АКСАЙ ГОРОД, ДРУЖБЫ УЛИЦА, 3",ростовская аксайский аксай дружбы 3,47.19027935,40.06501287369819
93474,"РОСТОВСКАЯ ОБЛАСТЬ, ОРЛОВСКИЙ РАЙОН, ВОЛОЧАЕВСКИЙ ПОСЕЛОК, СЕРДЮКОВА УЛИЦА, 17",ростовская орловский волочаевский сердюкова 17,46.5473715,42.6573066
93475,"РОСТОВСКАЯ ОБЛАСТЬ, ШАХТЫ ГОРОД, ШУРФОВАЯ УЛИЦА, 75",ростовская шахты шурфовая 75,47.703062200000005,40.15934618059627
93476,"РОСТОВСКАЯ ОБЛАСТЬ, ЧЕРТКОВСКИЙ РАЙОН, ШЕПТУХОВКА СЕЛО, ЦЕНТРАЛЬНАЯ УЛИЦА, ДОМ 14",ростовская чертковский шептуховка центральная 14,49.2963474,40.3431731
93477,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, НЕКРАСОВА ПЕРЕУЛОК, ДОМ 1",ростовская волгодонск некрасова 1,47.4970607,42.1648722
93478,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, НИКОЛАЕВО-КОЗЛОВСКИЙ ХУТОР, СТЕПНАЯ УЛИЦА, 21",ростовская неклиновский николаево-козловский степная 21,47.2207111,38.3570475
93479,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, ДУБРАВНЫЙ ПОСЕЛОК, САДОВАЯ УЛИЦА, 8",ростовская цимлянский дубравный садовая 8,,
93480,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, ДИМИТРОВА УЛИЦА, 59",ростовская донецк димитрова 59,48.35174705,40.02048763188101
93481,"РОСТОВСКАЯ ОБЛАСТЬ, КРАСНОСУЛИНСКИЙ РАЙОН, РОЗЕТ ПОСЕЛОК, ЧЕРЕМУШКИ УЛИЦА, ДОМ 19",ростовская красносулинский розет черемушки 19,,
93482,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, КОМИТЕТСКАЯ УЛИЦА, ДОМ 87",ростовская новочеркасск комитетская 87,47.4137485,40.100226819842575
93483,"РОСТОВСКАЯ ОБЛАСТЬ, ШАХТЫ ГОРОД, ЕКАТЕРИНИНСКАЯ УЛИЦА, 16, -",ростовская шахты екатерининская 16 -,47.810765700000005,40.1070759
93484,"РОСТОВСКАЯ ОБЛАСТЬ, АКСАЙСКИЙ РАЙОН, ЧЕРЮМКИН ХУТОР, ЦЕНТРАЛЬНАЯ УЛИЦА, 67, 5",ростовская аксайский черюмкин центральная 67 5,47.1987658,40.0853443
93485,"РОСТОВСКАЯ ОБЛАСТЬ, ТАЦИНСКИЙ РАЙОН, ВЕРХНЕКОЛЬЦОВ ХУТОР, ШКОЛЬНАЯ УЛИЦА, 7",ростовская тацинский верхнекольцов школьная 7,48.0375019,41.3288159
93486,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, ПОБЕДЫ ПЕРЕУЛОК, 13",ростовская донецк победы 13,48.34154355,39.949658449448236
93487,"РОСТОВСКАЯ ОБЛАСТЬ, ЗИМОВНИКОВСКИЙ РАЙОН, МОКРЫЙ ГАШУН ПОСЕЛОК, ЦЕНТРАЛЬНАЯ УЛИЦА, 101",ростовская зимовниковский мокрый гашун центральная 101,,
93488,"РОСТОВСКАЯ ОБЛАСТЬ, ТАГАНРОГ ГОРОД, СЕРГЕЯ ШИЛО УЛИЦА, ДОМ 259-2",ростовская таганрог сергея шило 259-2,47.224615,38.8873398
93489,"РОСТОВСКАЯ ОБЛАСТЬ, ДУБОВСКИЙ РАЙОН, МАЛАЯ ЛУЧКА СТАНИЦА, ДЕТСКИЙ ПЕРЕУЛОК, 7",ростовская дубовский малая лучка станица детский 7,,
93490,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, НЕКРАСОВА УЛИЦА, 27, ""Б""","ростовская донецк некрасова 27 ""б""",,
